No;Pertanyaan;Fakta;Dokumen;Keluaran System;TP;TN;FP;FN
70;Kapan Nikolai II turun takhta secara sukarela??;02 Maret 1917;15 Maret 1917,17 Juli 1918,17 Juli 1998,18 Mei 1868,17 Juli 1918,1 November 1894,15 Maret 1917,17 Juli 1918,1 Maret 1881,20 April 1894,26 November 1894,26 Mei 1896,27 Mei 1896,28 Mei 1905,9 November 1905,25 Desember 1904,1 November 1905,12 Agustus 1904,28 Juni 1914,29 Juli 1914,17 Desember 1916,30 Desember 1916,11 Maret 1917,20 Maret 1917,17 Juli 1918,18 Mei 1868,17 Juli 1918,1 November 1894,15 Maret 1917,1 November 1894,15 Maret 1917,15 Maret 1917,17 Juli 1918,25 Maret 2022,2 Maret 1917,4 Maret 1917,17 Juli 1918,16 Juli 1918,23 Juni 2013,17 Juli 1918,8 Maret 1917,15 Maret 1917,20 Maret 1917,19 Agustus 1917,30 April 1918,23 Mei 1918,3 Maret 1918,17 Juli 1918,10 April 1989,17 Juli 1998,22 Januari 1905,2 Maret 1917,4 Maret 1917,2 Maret 1917,17 Juli 1610,29 Juni 1762,6 Maret 1917,2 Maret 1917,8 Maret 1917,2 Maret 1917,3 Juni 1907,20 Juli 1914,2 Maret 1917,14 Desember 1825,5 April 1797,12 Desember 1825,16 Agustus 1823,20 Maret 1820,16 Agustus 1823,8 Desember 1825,12 Desember 1825,14 Desember 1825,2 Maret 1917,2 Maret 1917,1 Agustus 1904,17 Oktober 1912,15 Desember 1912,30 Desember 1912,23 Agustus 1914,29 September 1915,2 Maret 1917,16 Agustus 1823,2 Maret 1917,2 Maret 1917,3 Maret 1917,3 Maret 1917,3 Maret 1917,3 Maret 1917,2 Maret 1917,14 Mei 1896,30 Desember 1912,26 Juni 1941,7 November 2009,1 Maret 1917,2 Maret 1917,2 Maret 1917,3 Maret 1917,2 Maret 1917,2 Maret 1917,2 Maret 1917,3 Maret 1917,3 Maret 1917,2 Maret 1917,3 Maret 1917,17 Juli 1918,2 Maret 1917,9 Januari 1905,2 Maret 1917,2 Maret 1917,8 Maret 1917,2 Maret 1917,2 Maret 1917,1 Maret 1917,4 Maret 1917,8 Maret 1917,8 Maret 1917,17 Juli 1918,17 Juli 2003;02 Maret 1917;1;0;0;0
71;Kapan badan legislatif Ukraina yaitu Tsentralna Rada dibentuk?;17 Maret 1917;29 Agustus 2018,14 Agustus 1950,15 Agustus 1950,17 Agustus 1950,20 Maret 1956,15 November 1965,2 Mei 1966,2 Mei 1966,16 Mei 1966,17 Mei 1966,19 November 1966,03 Januari 2022,03 Januari 2022,03 Januari 2022,03 Januari 2022,17 Januari 2022,17 Januari 2022,17 Januari 2022,25 April 2022,14 Desember 2021,29 Agustus 1945,29 Agustus 1945,10 November 1945,27 November 1945,29 Agustus 1945,16 Agustus 1950,16 Agustus 1950,26 Maret 1956,24 Juni 2022;03 Januari 2022;0;1;0;0
72;Kapan pemerintahan soviet di barat daya Ukraina dan Bessarabia yaitu Rumcherod dibentuk?;10 Mei 1917;23 Juni 1917,29 April 1918,18 Maret 1921,21 Januari 1990,24 Agustus 1991,1 Desember 1991,26 Desember 1991,13 November 2014,11 Mei 2014,14 Desember 2021,28 Juni 1965;23 Juni 1917;0;1;0;0
73;Kapan Aleksandr Kerensky menggantikan Georgy Lvov sebagai perdana menteri?;21 Juli 1917;21 Juli 1917,7 November 1917,26 Oktober 1917,21 Juli 1917,7 November 1917,4 Mei 1881,11 Juni 1970,22 April 1881,11 Juni 1970,21 Juli 1917,8 November 1917,21 Juli 1917,8 November 1917,21 Juli 1917,7 November 1917,26 Oktober 1917,21 Juli 1917,7 November 1917,4 Mei 1881,11 Juni 1970,22 April 1881,11 Juni 1970,21 Juli 1917,8 November 1917,21 Juli 1917,8 November 1917,7 November 1917,4 Mei 1881,11 Juni 1970,7 November 2021,17 Oktober 1905,16 April 1917,20 April 1917,13 Mei 1917,10 Oktober 1917,25 Desember 1918,19 Maret 1917,10 November 2017,8 September 2017,10 November 2017,14 September 2017,31 Maret 2017,10 November 2017,27 Maret 2017,26 Maret 2017,20 Oktober 2017,10 November 2017,15 September 2017,28 Oktober 2017,8 November 2017,10 November 2017,23 Juni 2021,24 Juli 2017,9 Mei 2017,7 Januari 2022,23 Maret 2016,9 Juni 2022,3 Juni 2022,3 Juni 2022,23 Mei 2022,12 Mei 2022,12 Mei 2022,21 Juli 1917,7 November 1917,26 Oktober 1917,21 Juli 1917,7 November 1917,4 Mei 1881,11 Juni 1970,22 April 1881,11 Juni 1970,21 Juli 1917,8 November 1917,21 Juli 1917,8 November 1917;21 Juli 1917;1;0;0;0
74;Kapan Pertempuran Ypres Ketiga terjadi?;31 Juli 1917;6 November 1917,12 Oktober 1917,6 Januari 2022,6 November 1917,12 Oktober 1917,6 November 1917,12 Oktober 1917,6 November 1917,6 November 1917,12 Oktober 1917,4 Agustus 1914,11 November 1918,4 Agustus 1914,23 Agustus 1914,18 November 1914,20 Desember 1914,17 Maret 1915,6 November 1917,12 Oktober 1917;06-Nov-17;0;1;0;0
75;Kapan Kornilov ditangkap?;31 Agustus 1917;12 Agustus 1917,31 Agustus 1917,15 Juli 1805,29 Juli 1806,3 September 1805,10 Desember 2003,29 Juli 1806,8 September 1805,31 Desember 1805,5 November 1853,5 Oktober 1854,13 April 1918,17 Oktober 1854,8 Oktober 1827,20 Oktober 1853,2 September 1854;29 Juli 1806;0;0;1;0
76;Kapan Kekaisaran Rusia dibubarkan?;14-Sep-17;9 Juli 1762,6 November 1796,3 Maret 1917,1 Maret 1918,30 April 1918,17 Oktober 1905,18 Oktober 1905,20 April 2022,8 Maret 1917,7 November 1917,16 Juli 1918,24 Juni 2022,15 Maret 1917,17 Juli 1918,18 Mei 1868,17 Juli 1918,18 Mei 1868,17 Juli 1918,1 November 1894,15 Maret 1917,1 November 1894,15 Maret 1917,15 Maret 1917,17 Juli 1918,15 Maret 1917,17 Juli 1918,18 Mei 1868,17 Juli 1918,18 Mei 1868,17 Juli 1918,1 November 1894,15 Maret 1917,1 November 1894,15 Maret 1917,15 Maret 1917,17 Juli 1918,19 Maret 2022,25 Desember 1991;15 Maret 1917;0;1;0;0
77;Kapan Revolusi Bolshevik dimulai?;07-Nov-17;7 November 1917,25 Oktober 1917,10 Oktober 1917,24 Oktober 1917,25 Oktober 1917,7 November 1917,7 November 1917,22 Desember 1922,7 November 1917,25 Oktober 1917,30 Agustus 1922,27 Oktober 2020,27 Oktober 2020,27 Oktober 2020,12 Desember 2021,25 Oktober 1917,31 Mei 2022;07-Nov-17;1;0;0;0
78;Kapan Perang Saudara Rusia terjadi?;07-Nov-17;7 November 1917,25 Oktober 1922,16 Juni 1923,17 Juli 1918,8 April 2022,24 Januari 1919;07-Nov-17;1;0;0;0
79;Kapan kemerdekaan Finlandia?;06 Desember 1917;29 Maret 1809,6 Desember 1917,4 Januari 1918,1 Januari 1995,3 Januari 1918,1 Januari 1999,5 November 2010,7 November 2010,6 Desember 2020,6 Desember 2020,6 Desember 1917,22 Juni 2022,24 Juni 2022,6 Desember 2019,6 Desember 1917,18 Desember 1917,6 Desember 1877,5 Desember 2013,18 Desember 1917,5 Desember 1952,3 Desember 1984,2 Desember 1908,18 Desember 1917,1 Desember 1828,1 Desember 1988,6 Desember 1917,6 Desember 1917,24 Juni 2022,6 Desember 2019,6 Desember 1917,18 Desember 1917,6 Desember 1877,5 Desember 2013,18 Desember 1917,17 Januari 2021,27 Januari 1918,15 Mei 1918,6 Desember 1917,01 April 2020,01 April 2020,01 April 2020,01 April 2020,01 April 2020,6 Desember 1917,6 Desember 1917,29 Maret 1809,6 Desember 1917,4 Januari 1918,1 Januari 1995,3 Januari 1918,1 Januari 1999,5 November 2010,7 November 2010;06 Desember 1917;1;0;0;0
80;Panitia Fakultas Ekonomi Sumatera Selatan didirikan pada tanggal;01-Apr-53;17 Agustus 1952,1 April 1953,31 Oktober 1953,1 November 1957,31 Oktober 1957,29 Oktober 1960,3 November 1960,31 Desember 1993,1 September 1993,6 Maret 1997,22 November 2019,22 November 2019,22 November 2019,20 November 2019,18 November 2019,13 November 2019,12 November 2019,14 November 2019,3 Desember 2019,23 September 2019,9 Oktober 2019,20 September 2019,10 September 2019,05 September 2019,10 September 2019,30 Agustus 2019,08 April 2013,29 September 2012,12 Mei 2012,25 April 2015,24 April 2015,04 Mei 2013,27 April 2013,05 September 2019,01 Juni 2019,10 April 2019,02 Agustus 2018,31 Juli 2018,13 Oktober 2016,16 Juli 1993,30 Desember 1991,20 Juli 1993,1 Maret 1994,14 Maret 1994,20 November 1995,13 juni 2002,17 Agustus 1952,1 April 1953,31 Oktober 1953,1 November 1957,31 Oktober 1957,29 Oktober 1960,3 November 1960,1 September 1993,6 Maret 1997,17 Agustus 1952,1 April 1953,31 Oktober 1957,1 November 1957,29 Oktober 1960,12 April 1982,28 Januari 1974,15 Juni 1979,25 November 1980,9 Maret 1984,29 Juni 1989,1 Agustus 1989,21 April 1994,17 Agustus 1952,1 April 1953,31 Oktober 1953,1 November 1957,31 Oktober 1957,1 April 1953,29 Oktober 1960,17 Agustus 1952,1 April 1953,31 Oktober 1953,1 November 1957,31 Oktober 1957,29 Oktober 1960,3 November 1960,31 Desember 1993,1 September 1993,6 Maret 1997,1 Mei 2013,17 Juni 2022;01-Apr-53;1;0;0;0
81;Kapan kemerdekaan Latvia?;18-Nov-18;4 Mei 1990,4 Mei 1990,04 Mei 2022,04 Mei 2022,18 November 1918,4 Mei 1990,19 Juni 1970,18 Juni 2019,17 Juni 2017,16 Juni 2010,4 Mei 1990,29 Maret 2004,23 Juni 2013,18 November 1918,22 Juni 2022,18 November 1918,18 November 2019,18 November 1918,11 Agustus 1920,17 Juni 1940,17 November 1869,16 November 2001,15 November 1532,14 November 1861,18 November 1918,3 Januari 1919,11 Agustus 2010,18 November 1918,18 November 1918,03 Mei 2017,03 Mei 2017,3 Mei 1990,26 Desember 1991,3 Mei 1952,23 Juni 2013,21 Januari 2016,27 Januari 1991,20 Januari 1991,24 Juni 2022,18 November 2020,1 Desember 1918,18 November 1918,1 Desember 1918,22 Mei 1919,11 Agustus 1920,18 November 1918,21 Agustus 1991,14 Maret 1988,1 Maret 1949,22 Juni 2022,22 Juni 2022,23 Juni 2022,22 Juni 2022,23 Juni 2022,1 Mei 2004,29 Maret 2004,18 November 1918,23 Agustus 1989,21 Agustus 1991;18-Nov-18;1;0;0;0
82;Kapan Traktat Versailles ditandatangani ?;28 Juni 1919;28 Juni 1919,10 September 1919,27 November 1919,4 Juni 1920,10 Agustus 1920,28 Juni 1919,10 Januari 1920,8 Desember 2020,11 November 1918,5 Desember 1930,28 Juni 1919,28 Juni 1914,1 Agustus 1914,1 Agustus 1914,18 Januari 1919,28 Juni 1919,10 Januari 1920,10 Januari 1920,27 Juni 2019,28 Juni 1919,11 November 1918,5 Desember 1930,14 Oktober 2017,31 Oktober 2017,24 Oktober 2017,9 September 2021,25 Maret 2020,21 November 2018,19 September 2020,21 Juni 2022,7 Juli 2021,11 November 1918,28 Juni 1919,28 Juni 1919,11 November 1918,18 Januari 1919,28 April 1919,28 Juni 1919,9 Juli 1919,9 April 2022,7 Mei 1949,7 Mei 1919,28 Juni 1919,28 Juli 1914,11 November 1918;28 Juni 1919;1;0;0;0
83;Kapan Kesultanan Utsmaniyah dibubarkan?;01-Nov-22;3 Maret 1924,29 September 1911,18 Oktober 1912,22 Desember 1914,17 Januari 1915,25 September 1918,1 November 1922,29 Oktober 1923,3 Maret 1924,3 Maret 1924,3 Maret 1924,3 Maret 2019,3 Maret 2019,3 Juli 2021,3 Maret 1924,3 Maret 1924,24 Juni 2022,3 Maret 1924,3 Maret 2022,3 Maret 1924,3 Maret 2022,3 Maret 2022,3 Maret 1924,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,13 Juni 2022,4 Juli 1918,1 November 1922,14 Januari 1861,3 Juli 1918,21 Desember 1918,10 Agustus 1920;03 Maret 1924;0;0;1;0
84;Kapan kemerdekaan Georgia?;26 Mei 1918;4 Desember 2020,12 September 1801,26 Mei 1918,9 April 1991,24 Agustus 1995,25 Januari 2004,1 Mei 2015,5 Juni 2015,27 Juli 2014,24 November 1979,31 Januari 2017,28 April 2016,7 Juni 2017,23 Juni 2022,4 Desember 2020,26 Mei 2022,26 Mei 1918,26 Mei 1918,23 Juni 2022,9 April 1991,25 Januari 2004;26 Mei 1918;1;0;0;0
85;Kapan kemerdekaan Ceko?;28 Oktober 1918;1 Januari 1993,1 Januari 1993,19 Januari 1993,8 Maret 2013,13 Desember 2017,1 Januari 1993,1 Januari 1993;01 Januari 1993;0;1;0;0
86;Kapan Gencatan Senjata Mudros?;30 Oktober 1918;30 Oktober 1918,17 Desember 2020,30 Oktober 1918,30 Oktober 1918,30 Oktober 1918,30 Oktober 1918;30 Oktober 1918;1;0;0;0
87;Kapan Pertempuran Le Transloy berakhir?;18 Oktober 1916;"5 November 1916;13 November 1916;21 November 1916;6 Januari 2022;7 Agustus 1916;7 Agustus 1916";07 Agustus 1916;0;1;0;0
88;Kapan Bom Nagasaki dijatuhkan?;09 Agustus 1945;9 Agustus 1945,7 Desember 1941,7 Desember 1941,6 Agustus 1945,9 Agustus 1945,6 Agustus 1945,25 Juli 1945,9 Agustus 1945,3 November 1945,9 Agustus 1945,8 Mei 1945,26 Juli 1945,1 Agustus 1945,8 Mei 1945,15 Juni 1945,1 Juni 1945,18 November 1944,10 Maret 1945,16 Juli 1945,9 Desember 1944,17 Desember 1944,26 April 1945,6 Agustus 1945,6 Agustus 1945,5 Agustus 1945,9 Agustus 1945,9 Agustus 1945,9 Agustus 1945,8 Agustus 1945,5 September 1945,24 Oktober 1945,31 Agustus 1946,31 Maret 2015,24 Maret 2009,4 Januari 2010,1 Agustus 1944,9 Agustus 1945,1 Juni 2022,9 Agustus 2021,9 Agustus 1945,23 Juni 1972,16 Juli 1945,17 Juni 1959,14 Juni 1940,12 Juni 1929,10 Juni 1967,9 Agustus 1945,23 Juni 2022,6 Agustus 1945,6 Agustus 1945,05 April 2022,6 Agustus 1945,9 Agustus 1945,6 Agustus 1945,6 Agustus 2021,6 Agustus 1945,6 Agustus 1717,13 Juni 2022,13 Juni 2022,13 Juni 2022,13 Juni 2022,13 Juni 2022,13 Juni 2022,13 Juni 2022,13 Juni 2022,13 Juni 2022,13 Juni 2022,10 Agustus 2020,14 Agustus 1945,7 Mei 1945,6 Agustus 1945,2 September 1945,6 Agustus 2020,7 Agustus 2020,3 Agustus 2020,15 Januari 2018,2 September 2019,4 September 2017,22 Juni 2022,21 Juni 2022,21 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,20 Juni 2022,21 Juni 2022,6 Agustus 1945,9 Agustus 1945,7 Mei 1945,6 Agustus 2005,28 November 2007,6 Agustus 1945,8 Agustus 1945,7 Agustus 1945,9 Agustus 1945,10 Agustus 1945,6 Agustus 1945,9 Agustus 1945,14 Agustus 1945,9 Agustus 1945,9 Agustus 1945,9 Agustus 2021,7 Desember 1941,6 Agustus 1945,10 Agustus 1945,12 Agustus 1945,17 Agustus 1945,17 Agustus 1945;09 Agustus 1945;1;0;0;0
89;Kapan PPKI didirikan oleh Jepang?;12 Agustus 1945;7 Agustus 1945,7 Agustus 1945,7 Agustus 1945,07 Agustus 2020,7 Agustus 1945,9 Agustus 1945,16 Agustus 1945,17 Agustus 1945,7 Agustus 1945,12 Mei 2020,11 Mei 2020,10 Mei 2020,12 Mei 2020,11 Mei 2020,7 Agustus 1945,8 Agustus 1945,14 Agustus 1945,14 Agustus 1945,17 Agustus 1945,18 Agustus 1945,19 Agustus 1945,22 Agustus 1945,12 Agustus 1945,29 Agustus 1945,7 Agustus 1945,7 Agustus 1945,7 Agustus 1945,12 Agustus 1945,8 Agustus 1945,18 agustus 1945,18 Agustus 1945,19 Agustus 1945,19 Agustus 1945,22 Agustus 1945,7 Juni 2022,29 April 1945,12 Agustus 1945,28 Mei 1945,18 Agustus 1945,22 Agustus 1945,16 Agustus 2021,18 Agustus 1945,19 Agustus 2020,17 Agustus 1945,18 Agustus 2020,17 Agustus 1945,16 Agustus 1945,15 Agustus 1945,17 Agustus 1945,18 Agustus 1945,1 Maret 1945,29 April 1945,28 Mei 1945,29 Mei 1945,1 Juni 1945,31 Mei 1945,1 Juni 1945,22 Juni 1945,10 Juli 1945,11 Juli 1945,13 Juli 1945,14 Juli 1945,15 Juli 1945,16 Juli 1945,7 Agustus 1945,18 Agustus 1945,19 Agustus 1945,19 Agustus 1945,29 Agustus 1945,22 Agustus 1945,29 Agustus 1945,20 Juni 1995,21 Juni 1995,19 Agustus 2021,17 Agustus 1945,18 Agustus 2021,17 Agustus 2021,17 Agustus 2021,23 Juni 2022,8 Juni 2022,8 Juni 2022,6 Juni 2022,26 Mei 2022,19 Mei 2022,17 Mei 2022,10 Mei 2022,7 Agustus 2021,7 Agustus 1945,9 Agustus 1945,24 Agustus 1945,3 Agustus 1492,22 Juni 2022,7 Agustus 1945,9 Agustus 1945,7 Agustus 1945,18 Agustus 1945,19 Agustus 1945,20 Agustus 2021,29 Agustus 1945,24 Juni 2022,7 Agustus 1945,17 Desember 2021,7 Agustus 1945,9 Agustus 1945,17 Agustus 1945,14 Agustus 1945,17 Agustus 1945,18 Agustus 1945,19 Agustus 1945,22 Agustus 1945,19 September 1945,29 Agustus 1945,16 Oktober 1945,3 November 1945,24 Juni 2022,7 agustus 1945,9 Agustus 1945,7 September 1944,1 maret 1945,29 April 1945,29 Mei 1945,1 Juni 1945,10 Juli 1945,17 Juli 1945,7 Agustus 1945,9 Agustus 1945,16 Agustus 1945,16 Agustus 1945,17 Agustus 1945,18 Agustus 1945,18 Agustus 1945,18 Agustus 1945,19 Agustus 1945,18 Agustus 1945,22 Juni 1945,18 Agustus 1945,19 Agustus 1945,22 agustus 1945,7 Agustus 1945,7 Agustus 1945,9 Agustus 1945,16 Agustus 1945,18 Agustus 1945,17 Agustus 1945,7 Agustus 1945,29 April 1945,1 Juni 1945,7 Agustus 1945,6 Agustus 1945,9 Agustus 1945,17 Agustus 1945,18 Agustus 1945,5 Juli 1959;07 Agustus 1945;0;0;1;0
90;Kapan Palang Merah Indonesia (PMI) dibentuk?;17-Sep-45;21 Oktober 1873,3 September 1945,3 September 1945,17 Agustus 1945,5 September 1945,5 September 1945,17 September 1945,17 September 1945,16 Januari 1950,16 Januari 1950,29 November 1963,15 Juni 1950,24 Juni 1859,21 Oktober 1873,17 Agustus 1945,3 September 1945,5 September 1945,17 September 1945,21 Oktober 1873,17 Agustus 1945,3 September 1945,5 September 1945,17 September 1945,16 Januari 1950,15 Juni 1950,16 Januari 1950,29 November 1963,5 September 1945,21 Juli 1975,17 September 1945,17 September 2021,27 November 2021,12 November 1948,17 September 1945,17 September 1945,16 Januari 1950,15 Juni 1950,16 Oktober 1950,16 Desember 1985,9 Januari 2018,17 September 1945,17 September 2021,5 Maret 1948,8 Juni 2002,17 Agustus 1945,21 Oktober 1873,31 Desember 1945,3 September 1945,17 Agustus 1945,5 September 1945,17 September 1945,21 Juli 1947,16 Januari 1950,23 Agustus 1949,2 November 1949,16 Januari 1950,16 Januari 1950,29 November 1963,15 Juni 1950,16 Oktober 1950,12 Agustus 1949,12 Agustus 1949,5 Desember 1959,16 Desember 1985,4 Maret 1975,9 Januari 2018,22 April 2021,12 Juli 2021,14 Agustus 1970,5 Januari 1976,26 September 1977,21 Juni 1980,17 Desember 1985,25 November 1981,12 Agustus 1949,17 September 2021,23 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,20 Juni 2022,17 Juni 2022,15 Juni 2022,13 Juni 2022,17 September 1945,12 Oktober 1873,3 September 1945,17 September 1945,27 April 2013,18 Desember 2014,27 April 2013,18 Desember 2014,23 Juni 2022,12 Oktober 1873,3 September 1945,17 September 1945,21 Oktober 1873,3 September 1945,3 September 1945,17 Agustus 1945,5 September 1945,5 September 1945,17 September 1945,17 September 1945,16 Januari 1950,16 Januari 1950,29 November 1963,15 Juni 1950,24 Juni 1859,17 September 2021,17 September 2021,21 Oktober 1873,3 September 1945,17 Agustus 1945,17 September 1945,16 Oktober 1950,16 Januari 1950,29 November 1963,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,24 Juni 2022,3 September 1945,17 Agustus 1945,17 September 1945,15 Juni 1950,16 Oktober 1950,16 Januari 1950,29 November 1963,17 September 2021,23 Juni 1972,21 Oktober 1873,3 September 1945,5 September 1945,17 September 1945,5 September 1984,23 Juni 2022;17-Sep-45;1;0;0;0
91;Kapan Insiden perobekan bendera Belanda di Hotel Yamato, Surabaya?;19-Sep-45;19 September 1965,17 Agustus 1945,31 Agustus 1945,1 September 1945,18 September 1945,19 September 1945,10 November 1945,10 November 1945,10 November 1945,10 November 1945,19 September 1945,19 September 1965,31 Agustus 1945,1 September 1945,18 September 1945,19 September 1945,27 Oktober 1945,19 September 1945,31 Agustus 1945,1 September 1945,18 September 1945,19 September 1945,27 Oktober 1945,19 September 1945,10 November 1945,13 Oktober 2021,19 September 2021,23 Juni 1972,17 Agustus 1945,19 September 1945,19 September 1945,19 September 1945,23 Juni 2022,19 September 1945,25 Oktober 1945,27 Oktober 1945,10 November 1945,10 November 1945,10 November 1945,15 September 1945,18 September 1945,19 September 1945,17 Agustus 1945,19 September 1945,10 November 1945,24 Juni 2022,19 September 1945,25 Agustus 2021,27 Oktober 1945,20 November 1945,6 Agustus 1945,9 Agustus 1945,14 Agustus 1945,15 Agustus 1945,2 September 1945,9 Agustus 1945,14 Agustus 1945,16 Agustus 1945,17 Agustus 1945,24 Agustus 1945,18 September 1945,31 Agustus 1945,1 September 1945,19 September 1945,27 Oktober 1945,24 Juni 2022,18 September 1945,31 Agustus 1945,1 September 1945,18 September 1945,19 September 1945,27 Oktober 1945;19-Sep-45;1;0;0;0
92;Kapan Pertempuran Ancre berakhir?;18-Nov-16;18 November 1916,18 November 1916,11 November 1916,7 Agustus 1916,7 Agustus 1916,7 Oktober 1916,11 Agustus 1918,7 Agustus 1916,7 Agustus 1916,13 November 1916,18 November 1916,1 Juli 1916,2 Juli 1916,18 November 1916,1 Juli 1946,23 Juni 2013;18-Nov-16;1;0;0;0
93;Kapan Kerusuhan Tarakan terjadi?;26-Sep-10;"26 September 2010;26 September 2010;30 September 2010;1 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;1 November 2010;1 November 2010;2 Oktober 2010;29 September 2010;26 September 2010;26 September 2010;30 September 2010;1 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;1 November 2010;1 November 2010;2 Oktober 2010;8 Juni 2022;20 Juni 2022;30 September 2010;26 September 2010;27 September 2010;28 September 2010;28 September 2010;20 Juni 2022;26 September 2010;26 September 2010;30 September 2010;1 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;1 November 2010;1 November 2010;2 Oktober 2010;26 September 2010;27 September 2010;28 September 2010;26 September 2010;26 September 2010;30 September 2010;1 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;1 November 2010;1 November 2010;2 Oktober 2010;11 November 2015;11 November 2015;17 November 2015;26 September 2010;27 September 2010;29 September 2010;15 Mei 1998;15 Mei 1998;15 Mei 1998;17 April 2022;13 April 2022;6 April 2022;5 April 2022;4 April 2022;3 April 2022;26 September 2010;26 September 2010;30 September 2010;1 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;2 Oktober 2010;1 November 2010;1 November 2010;2 Oktober 2010;26 September 2010;26 September 2010;26 September 2010;27 September 2010;28 September 2010";02 Oktober 2010;0;0;1;0
